@relation Covid19

@attribute Date date dd-mm-yyyy
@attribute Country string
@attribute Cases integer
@attribute Deaths integer
@attribute Recovered integer

@data
4-02-2020,Sweden,1,0,0
4-02-2020,Belgium,1,0,0
4-02-2020,Spain,1,0,0
5-02-2020,China,24399,491,0
5-02-2020,Japan,35,0,0
5-02-2020,Singapore,28,0,0
5-02-2020,Thailand,25,0,0
5-02-2020,Hong_Kong,21,1,0
5-02-2020,S._Korea,19,0,0
5-02-2020,Australia,14,0,0
5-02-2020,Malaysia,12,0,0
5-02-2020,Germany,12,0,0
5-02-2020,USA,11,0,0
5-02-2020,Taiwan,11,0,0
5-02-2020,Macao,10,0,0
5-02-2020,Vietnam,10,0,0
5-02-2020,France,6,0,0
5-02-2020,Canada,5,0,0
5-02-2020,U.A.E.,5,0,0
5-02-2020,Philippines,3,1,0
5-02-2020,India,3,0,0
5-02-2020,U.K.,2,0,0
5-02-2020,Italy,2,0,0
5-02-2020,Russia,2,0,0
5-02-2020,Finland,1,0,0
5-02-2020,Nepal,1,0,0
5-02-2020,Sweden,1,0,0
5-02-2020,Sri_Lanka,1,0,0
5-02-2020,Cambodia,1,0,0
5-02-2020,Spain,1,0,0
5-02-2020,Belgium,1,0,0
6-02-2020,China,30551,633,1593
6-02-2020,Japan,45,0,0
6-02-2020,Singapore,30,0,1
6-02-2020,Thailand,25,0,9
6-02-2020,Hong_Kong,24,1,0
6-02-2020,S._Korea,23,0,1
6-02-2020,Taiwan,16,0,1
6-02-2020,Australia,15,0,3
6-02-2020,Malaysia,14,0,1
6-02-2020,Germany,13,0,0
6-02-2020,USA,12,0,1
6-02-2020,Vietnam,12,0,3
6-02-2020,Macao,10,0,0
6-02-2020,Canada,7,0,0
6-02-2020,France,6,0,0
6-02-2020,U.A.E.,5,0,0
6-02-2020,Philippines,3,1,0
6-02-2020,India,3,0,0
6-02-2020,U.K.,3,0,0
6-02-2020,Italy,3,0,0
6-02-2020,Russia,2,0,0
6-02-2020,Nepal,1,0,0
6-02-2020,Cambodia,1,0,0
6-02-2020,Sri_Lanka,1,0,1
6-02-2020,Finland,1,0,1
6-02-2020,Sweden,1,0,0
6-02-2020,Belgium,1,0,0
6-02-2020,Spain,1,0,0
7-02-2020,China,31210,636,1747
7-02-2020,Japan,86,0,4
7-02-2020,Singapore,33,0,2
7-02-2020,Hong_Kong,25,1,0
7-02-2020,Thailand,25,0,9
7-02-2020,S._Korea,24,0,2
7-02-2020,Taiwan,16,0,1
7-02-2020,Malaysia,15,0,1
7-02-2020,Australia,15,0,5
7-02-2020,Germany,13,0,0
7-02-2020,Vietnam,12,0,3
7-02-2020,USA,12,0,1
7-02-2020,Macao,10,0,0
7-02-2020,Canada,7,0,0
7-02-2020,France,6,0,0
7-02-2020,U.A.E.,5,0,0
7-02-2020,Philippines,3,1,0
7-02-2020,India,3,0,0
7-02-2020,U.K.,3,0,0
7-02-2020,Italy,3,0,0
7-02-2020,Russia,2,0,0
7-02-2020,Sri_Lanka,1,0,1
7-02-2020,Cambodia,1,0,1
7-02-2020,Finland,1,0,1
7-02-2020,Nepal,1,0,0
7-02-2020,Sweden,1,0,0
7-02-2020,Spain,1,0,0
7-02-2020,Belgium,1,0,0
8-02-2020,China,36778,804,2377
8-02-2020,Japan,89,0,4
8-02-2020,Singapore,40,0,2
8-02-2020,Thailand,32,0,9
8-02-2020,Hong_Kong,26,1,0
8-02-2020,S._Korea,24,0,2
8-02-2020,Taiwan,17,0,1
8-02-2020,Malaysia,16,0,1
8-02-2020,Australia,15,0,5
8-02-2020,Germany,14,0,0
8-02-2020,Vietnam,13,0,3
8-02-2020,USA,12,0,3
8-02-2020,France,11,0,0
8-02-2020,Macao,10,0,1
8-02-2020,Canada,7,0,0
8-02-2020,U.A.E.,7,0,0
8-02-2020,Philippines,3,1,0
8-02-2020,India,3,0,0
8-02-2020,Italy,3,0,0
8-02-2020,U.K.,3,0,0
8-02-2020,Russia,2,0,0
8-02-2020,Nepal,1,0,0
8-02-2020,Cambodia,1,0,1
8-02-2020,Finland,1,0,1
8-02-2020,Sri_Lanka,1,0,1
8-02-2020,Sweden,1,0,0
8-02-2020,Belgium,1,0,0
8-02-2020,Spain,1,0,0
9-02-2020,China,40199,908,3623
9-02-2020,Japan,161,0,4
9-02-2020,Singapore,45,0,7
9-02-2020,Hong_Kong,42,1,0
9-02-2020,Thailand,32,0,10
9-02-2020,S._Korea,27,0,3
9-02-2020,Taiwan,18,0,1
9-02-2020,Malaysia,18,0,3
9-02-2020,Australia,15,0,5
9-02-2020,Vietnam,14,0,3
9-02-2020,Germany,14,0,0
9-02-2020,USA,12,0,3
9-02-2020,France,11,0,0
9-02-2020,Macao,10,0,1
9-02-2020,U.K.,8,0,0
9-02-2020,U.A.E.,8,0,1
9-02-2020,Canada,7,0,0
9-02-2020,Philippines,3,1,2
9-02-2020,India,3,0,0
9-02-2020,Italy,3,0,0
9-02-2020,Russia,2,0,0
9-02-2020,Spain,2,0,0
9-02-2020,Finland,1,0,1
9-02-2020,Nepal,1,0,0
9-02-2020,Sweden,1,0,0
9-02-2020,Sri_Lanka,1,0,1
9-02-2020,Cambodia,1,0,1
9-02-2020,Belgium,1,0,0
10-02-2020,China,42670,1016,4318
10-02-2020,Japan,163,0,4
10-02-2020,Hong_Kong,49,1,0
10-02-2020,Singapore,47,0,9
10-02-2020,Thailand,33,0,10
10-02-2020,S._Korea,28,0,4
10-02-2020,Taiwan,18,0,1
10-02-2020,Malaysia,18,0,3
10-02-2020,Germany,16,0,0
10-02-2020,Vietnam,15,0,6
10-02-2020,Australia,15,0,5
10-02-2020,USA,13,0,3
10-02-2020,France,11,0,0
10-02-2020,Macao,10,0,1
10-02-2020,U.A.E.,8,0,1
10-02-2020,U.K.,8,0,1
10-02-2020,Canada,7,0,1
10-02-2020,Philippines,3,1,2
10-02-2020,Italy,3,0,0
10-02-2020,India,3,0,0
10-02-2020,Russia,2,0,0
10-02-2020,Spain,2,0,0
10-02-2020,Sweden,1,0,0
10-02-2020,Sri_Lanka,1,0,1
10-02-2020,Nepal,1,0,0
10-02-2020,Finland,1,0,1
10-02-2020,Cambodia,1,0,1
10-02-2020,Belgium,1,0,0
11-02-2020,China,44653,1113,4777
11-02-2020,Japan,203,0,4
11-02-2020,Hong_Kong,49,1,0
11-02-2020,Singapore,47,0,9
11-02-2020,Thailand,33,0,10
11-02-2020,S._Korea,28,0,4
11-02-2020,Taiwan,18,0,1
11-02-2020,Malaysia,18,0,3
11-02-2020,Germany,16,0,0
11-02-2020,Vietnam,15,0,6
11-02-2020,Australia,15,0,5
11-02-2020,USA,13,0,3
11-02-2020,France,11,0,0
11-02-2020,Macao,10,0,1
11-02-2020,U.K.,8,0,1
11-02-2020,U.A.E.,8,0,1
11-02-2020,Canada,7,0,1
11-02-2020,Philippines,3,1,2
11-02-2020,Italy,3,0,0
11-02-2020,India,3,0,0
11-02-2020,Russia,2,0,0
11-02-2020,Spain,2,0,0
11-02-2020,Finland,1,0,1
11-02-2020,Cambodia,1,0,1
11-02-2020,Nepal,1,0,0
11-02-2020,Sri_Lanka,1,0,1
11-02-2020,Sweden,1,0,0
11-02-2020,Belgium,1,0,0
12-02-2020,China,59828,1367,6210
12-02-2020,Japan,251,1,10
12-02-2020,Singapore,58,0,15
12-02-2020,Hong_Kong,53,1,1
12-02-2020,Thailand,33,0,12
12-02-2020,S._Korea,28,0,7
12-02-2020,Malaysia,19,0,3
12-02-2020,Taiwan,18,0,1
12-02-2020,Germany,16,0,1
12-02-2020,Vietnam,16,0,7
12-02-2020,USA,15,0,3
12-02-2020,Australia,15,0,8
12-02-2020,France,11,0,2
12-02-2020,Macao,10,0,3
12-02-2020,U.K.,9,0,1
12-02-2020,U.A.E.,8,0,1
12-02-2020,Canada,7,0,1
12-02-2020,India,5,0,1
12-02-2020,Philippines,3,1,2
12-02-2020,Italy,3,0,0
12-02-2020,Russia,2,0,2
12-02-2020,Spain,2,0,0
12-02-2020,Sri_Lanka,1,0,1
12-02-2020,Finland,1,0,1
12-02-2020,Cambodia,1,0,1
12-02-2020,Belgium,1,0,0
12-02-2020,Sweden,1,0,0
12-02-2020,Nepal,1,0,1
14-02-2020,China,66291,1520,7977
14-02-2020,Japan,259,1,11
14-02-2020,Singapore,67,0,17
14-02-2020,Hong_Kong,56,1,1
14-02-2020,Thailand,33,0,13
14-02-2020,S._Korea,28,0,7
14-02-2020,Malaysia,19,0,7
14-02-2020,Taiwan,18,0,1
14-02-2020,Germany,16,0,1
14-02-2020,Vietnam,16,0,7
14-02-2020,USA,15,0,3
14-02-2020,Australia,15,0,10
14-02-2020,France,11,0,3
14-02-2020,Macao,10,0,3
14-02-2020,U.K.,9,0,1
14-02-2020,Canada,8,0,1
14-02-2020,U.A.E.,8,0,1
14-02-2020,Philippines,3,1,2
14-02-2020,Italy,3,0,0
14-02-2020,India,3,0,1
14-02-2020,Spain,2,0,1
14-02-2020,Russia,2,0,2
14-02-2020,Sweden,1,0,0
14-02-2020,Belgium,1,0,0
14-02-2020,Egypt,1,0,0
14-02-2020,Nepal,1,0,1
14-02-2020,Sri_Lanka,1,0,1
14-02-2020,Finland,1,0,1
14-02-2020,Cambodia,1,0,1
15-02-2020,China,66493,1523,8251
15-02-2020,Japan,260,1,11
15-02-2020,Singapore,67,0,17
15-02-2020,Hong_Kong,56,1,1
15-02-2020,Thailand,34,0,14
15-02-2020,S._Korea,28,0,9
15-02-2020,Malaysia,21,0,7
15-02-2020,Taiwan,18,0,1
15-02-2020,Germany,16,0,1
15-02-2020,Vietnam,16,0,7
15-02-2020,USA,15,0,3
15-02-2020,Australia,15,0,10
15-02-2020,France,11,0,3
15-02-2020,Macao,10,0,3
15-02-2020,U.K.,9,0,1
15-02-2020,Canada,8,0,1
15-02-2020,U.A.E.,8,0,1
15-02-2020,Philippines,3,1,2
15-02-2020,Italy,3,0,0
15-02-2020,India,3,0,1
15-02-2020,Spain,2,0,1
15-02-2020,Russia,2,0,2
15-02-2020,Sweden,1,0,0
15-02-2020,Belgium,1,0,0
15-02-2020,Egypt,1,0,0
15-02-2020,Cambodia,1,0,1
15-02-2020,Nepal,1,0,1
15-02-2020,Sri_Lanka,1,0,1
15-02-2020,Finland,1,0,1
15-02-2020,China,70542,1765,10728
15-02-2020,Japan,414,1,17
15-02-2020,Singapore,75,0,19
15-02-2020,Hong_Kong,57,1,2
15-02-2020,Thailand,34,0,14
15-02-2020,S._Korea,29,0,9
15-02-2020,Malaysia,22,0,8
15-02-2020,Taiwan,20,1,2
15-02-2020,Germany,16,0,3
15-02-2020,Vietnam,16,0,7
15-02-2020,Australia,15,0,10
15-02-2020,USA,15,0,3
15-02-2020,France,12,1,4
15-02-2020,Macao,10,0,5
15-02-2020,U.A.E.,9,0,3
15-02-2020,U.K.,9,0,8
15-02-2020,Canada,8,0,1
15-02-2020,Philippines,3,1,2
15-02-2020,Italy,3,0,0
15-02-2020,India,3,0,3
15-02-2020,Russia,2,0,2
15-02-2020,Spain,2,0,2
15-02-2020,Egypt,1,0,0
15-02-2020,Cambodia,1,0,1
15-02-2020,Sweden,1,0,0
15-02-2020,Nepal,1,0,1
15-02-2020,Belgium,1,0,1
15-02-2020,Sri_Lanka,1,0,1
15-02-2020,Finland,1,0,1
17-02-2020,China,70553,1771,11158
17-02-2020,Cruise_Ship,454,0,17
17-02-2020,Singapore,75,0,19
17-02-2020,Japan,65,1,17
17-02-2020,Hong_Kong,58,1,2
17-02-2020,Thailand,35,0,15
17-02-2020,S._Korea,30,0,10
17-02-2020,Malaysia,22,0,8
17-02-2020,Taiwan,20,1,2
17-02-2020,Vietnam,16,0,7
17-02-2020,Germany,16,0,3
17-02-2020,USA,15,0,3
17-02-2020,Australia,15,0,10
17-02-2020,France,12,1,4
17-02-2020,Macao,10,0,5
17-02-2020,U.K.,9,0,8
17-02-2020,U.A.E.,9,0,3
17-02-2020,Canada,8,0,1
17-02-2020,Philippines,3,1,2
17-02-2020,Italy,3,0,0
17-02-2020,India,3,0,3
17-02-2020,Russia,2,0,2
17-02-2020,Spain,2,0,2
17-02-2020,Cambodia,1,0,1
17-02-2020,Sweden,1,0,0
17-02-2020,Nepal,1,0,1
17-02-2020,Belgium,1,0,1
17-02-2020,Sri_Lanka,1,0,1
17-02-2020,Finland,1,0,1
17-02-2020,Egypt,1,0,0
18-02-2020,China,72440,1870,12994
18-02-2020,Diamond_Princess,542,0,17
18-02-2020,Singapore,81,0,29
18-02-2020,Japan,74,1,20
18-02-2020,Hong_Kong,62,1,2
18-02-2020,Thailand,35,0,17
18-02-2020,S._Korea,31,0,12
18-02-2020,Taiwan,22,1,2
18-02-2020,Malaysia,22,0,11
18-02-2020,Germany,16,0,9
18-02-2020,Vietnam,16,0,7
18-02-2020,Australia,15,0,10
18-02-2020,USA,15,0,3
18-02-2020,France,12,1,5
18-02-2020,Macao,10,0,5
18-02-2020,U.A.E.,9,0,3
18-02-2020,U.K.,9,0,8
18-02-2020,Canada,8,0,1
18-02-2020,Philippines,3,1,2
18-02-2020,Italy,3,0,0
18-02-2020,India,3,0,3
18-02-2020,Russia,2,0,2
18-02-2020,Spain,2,0,2
18-02-2020,Egypt,1,0,0
18-02-2020,Cambodia,1,0,1
18-02-2020,Sweden,1,0,0
18-02-2020,Nepal,1,0,1
18-02-2020,Belgium,1,0,1
18-02-2020,Sri_Lanka,1,0,1
18-02-2020,Finland,1,0,1
19-02-2020,China,74192,2006,14926
19-02-2020,Diamond_Princess,621,0,17
19-02-2020,Japan,84,1,20
19-02-2020,Singapore,84,0,34
19-02-2020,Hong_Kong,65,2,5
19-02-2020,S._Korea,51,0,16
19-02-2020,Thailand,35,0,17
19-02-2020,Taiwan,23,1,2
19-02-2020,Malaysia,22,0,15
19-02-2020,Germany,16,0,9
19-02-2020,Vietnam,16,0,14
19-02-2020,USA,15,0,3
19-02-2020,Australia,15,0,10
19-02-2020,France,12,1,7
19-02-2020,Macao,10,0,5
19-02-2020,U.A.E.,9,0,3
19-02-2020,U.K.,9,0,8
19-02-2020,Canada,8,0,1
19-02-2020,Philippines,3,1,2
19-02-2020,India,3,0,3
19-02-2020,Italy,3,0,0
19-02-2020,Iran,2,2,0
19-02-2020,Russia,2,0,2
19-02-2020,Spain,2,0,2
19-02-2020,Belgium,1,0,1
19-02-2020,Finland,1,0,1
19-02-2020,Egypt,1,0,0
19-02-2020,Sweden,1,0,0
19-02-2020,Nepal,1,0,1
19-02-2020,Cambodia,1,0,1
19-02-2020,Sri_Lanka,1,0,1
20-02-2020,China,74582,2120,16707
20-02-2020,Diamond_Princess,634,2,17
20-02-2020,S._Korea,104,1,16
20-02-2020,Japan,94,1,20
20-02-2020,Singapore,85,0,37
20-02-2020,Hong_Kong,67,2,6
20-02-2020,Thailand,35,0,17
20-02-2020,Taiwan,24,1,2
20-02-2020,Malaysia,22,0,17
20-02-2020,Germany,16,0,13
20-02-2020,Vietnam,16,0,14
20-02-2020,Australia,15,0,11
20-02-2020,USA,15,0,3
20-02-2020,France,12,1,7
20-02-2020,Macao,10,0,6
20-02-2020,U.K.,9,0,8
20-02-2020,U.A.E.,9,0,3
20-02-2020,Canada,8,0,2
20-02-2020,Iran,5,2,0
20-02-2020,Philippines,3,1,2
20-02-2020,India,3,0,3
20-02-2020,Italy,3,0,0
20-02-2020,Russia,2,0,2
20-02-2020,Spain,2,0,2
20-02-2020,Belgium,1,0,1
20-02-2020,Cambodia,1,0,1
20-02-2020,Egypt,1,0,1
20-02-2020,Finland,1,0,1
20-02-2020,Nepal,1,0,1
20-02-2020,Sri_Lanka,1,0,1
20-02-2020,Sweden,1,0,0
21-02-2020,China,75897,2236,18692
21-02-2020,Diamond_Princess,634,2,17
21-02-2020,S._Korea,205,2,17
21-02-2020,Japan,108,1,22
21-02-2020,Singapore,86,0,47
21-02-2020,Hong_Kong,69,2,6
21-02-2020,Thailand,35,0,19
21-02-2020,USA_*,35,0,6
21-02-2020,Taiwan,26,1,2
21-02-2020,Malaysia,22,0,17
21-02-2020,Italy,21,1,1
21-02-2020,Australia,19,0,11
21-02-2020,Iran,18,4,0
21-02-2020,Germany,16,0,14
21-02-2020,Vietnam,16,0,15
21-02-2020,France,12,1,7
21-02-2020,U.A.E.,11,0,3
21-02-2020,Macao,10,0,6
21-02-2020,Canada,9,0,3
21-02-2020,U.K.,9,0,8
21-02-2020,Philippines,3,1,2
21-02-2020,India,3,0,3
21-02-2020,Russia,2,0,2
21-02-2020,Spain,2,0,2
21-02-2020,Belgium,1,0,1
21-02-2020,Cambodia,1,0,1
21-02-2020,Egypt,1,0,1
21-02-2020,Finland,1,0,1
21-02-2020,Israel,1,0,0
21-02-2020,Lebanon,1,0,0
21-02-2020,Nepal,1,0,1
21-02-2020,Sri_Lanka,1,0,1
21-02-2020,Sweden,1,0,0
22-02-2020,China,76923,2441,22691
22-02-2020,Diamond_Princess,634,2,17
22-02-2020,S._Korea,433,2,18
22-02-2020,Japan,134,1,22
22-02-2020,Singapore,89,0,49
22-02-2020,Italy,79,2,2
22-02-2020,Hong_Kong,70,2,11
22-02-2020,Thailand,35,0,20
22-02-2020,USA,35,0,6
22-02-2020,Iran,29,6,0
22-02-2020,Taiwan,26,1,2
22-02-2020,Malaysia,22,0,17
22-02-2020,Australia,21,0,11
22-02-2020,Germany,16,0,14
22-02-2020,Vietnam,16,0,15
22-02-2020,U.A.E.,13,0,3
22-02-2020,France,12,1,10
22-02-2020,Macao,10,0,6
22-02-2020,Canada,9,0,3
22-02-2020,U.K.,9,0,8
22-02-2020,Philippines,3,1,2
22-02-2020,India,3,0,3
22-02-2020,Russia,2,0,2
22-02-2020,Spain,2,0,2
22-02-2020,Belgium,1,0,1
22-02-2020,Cambodia,1,0,1
22-02-2020,Egypt,1,0,1
22-02-2020,Finland,1,0,1
22-02-2020,Israel,1,0,0
22-02-2020,Lebanon,1,0,0
22-02-2020,Nepal,1,0,1
22-02-2020,Sri_Lanka,1,0,1
22-02-2020,Sweden,1,0,0
22-02-2020,Iraq,1,0,0
21-02-2020,China,76942,2444,23174
21-02-2020,Diamond_Princess,691,3,17
21-02-2020,S._Korea,602,6,18
21-02-2020,Italy,157,3,2
21-02-2020,Japan,146,1,23
21-02-2020,Singapore,89,0,51
21-02-2020,Hong_Kong,74,2,12
21-02-2020,Iran,43,8,0
21-02-2020,Thailand,35,0,21
21-02-2020,USA,35,0,7
21-02-2020,Taiwan,28,1,2
21-02-2020,Australia,22,0,11
21-02-2020,Malaysia,22,0,18
21-02-2020,Germany,16,0,14
21-02-2020,Vietnam,16,0,15
21-02-2020,U.K.,13,0,8
21-02-2020,U.A.E.,13,0,3
21-02-2020,France,12,1,10
21-02-2020,Canada,10,0,3
21-02-2020,Macao,10,0,6
21-02-2020,Philippines,3,1,2
21-02-2020,India,3,0,3
21-02-2020,Israel,2,0,0
21-02-2020,Russia,2,0,2
21-02-2020,Spain,2,0,2
21-02-2020,Belgium,1,0,1
21-02-2020,Cambodia,1,0,1
21-02-2020,Egypt,1,0,1
21-02-2020,Finland,1,0,1
21-02-2020,Lebanon,1,0,0
21-02-2020,Nepal,1,0,1
21-02-2020,Sri_Lanka,1,0,1
21-02-2020,Sweden,1,0,0
21-02-2020,Iraq,1,0,0
22-02-2020,China,77345,2593,25066
22-02-2020,S._Korea,833,8,22
22-02-2020,Diamond_Princess,691,3,2
22-02-2020,Italy,229,7,1
22-02-2020,Japan,159,1,23
22-02-2020,Singapore,90,0,49
22-02-2020,Hong_Kong,81,2,12
22-02-2020,Iran,61,12,3
22-02-2020,USA,53,0,5
22-02-2020,Thailand,35,0,15
22-02-2020,Taiwan,30,1,2
22-02-2020,Australia,22,0,11
22-02-2020,Malaysia,22,0,17
22-02-2020,Germany,16,0,14
22-02-2020,Vietnam,16,0,15
22-02-2020,U.K.,13,0,8
22-02-2020,U.A.E.,13,0,3
22-02-2020,France,12,1,11
22-02-2020,Canada,11,0,3
22-02-2020,Macao,10,0,5
22-02-2020,Kuwait,5,0,0
22-02-2020,Philippines,3,1,2
22-02-2020,India,3,0,3
22-02-2020,Spain,3,0,2
22-02-2020,Bahrain,2,0,0
22-02-2020,Israel,2,0,0
22-02-2020,Oman,2,0,0
22-02-2020,Russia,2,0,2
22-02-2020,Afghanistan,1,0,0
22-02-2020,Belgium,1,0,1
22-02-2020,Cambodia,1,0,1
22-02-2020,Egypt,1,0,1
22-02-2020,Finland,1,0,1
22-02-2020,Iraq,1,0,0
22-02-2020,Lebanon,1,0,0
22-02-2020,Nepal,1,0,1
22-02-2020,Sri_Lanka,1,0,1
22-02-2020,Sweden,1,0,0
23-02-2020,China,76942,2444,23174
23-02-2020,Diamond_Princess,691,3,17
23-02-2020,S._Korea,602,6,18
23-02-2020,Italy,157,3,2
23-02-2020,Japan,146,1,23
23-02-2020,Singapore,89,0,51
23-02-2020,Hong_Kong,74,2,12
23-02-2020,Iran,43,8,0
23-02-2020,Thailand,35,0,21
23-02-2020,USA,35,0,7
23-02-2020,Taiwan,28,1,2
23-02-2020,Australia,22,0,11
23-02-2020,Malaysia,22,0,18
23-02-2020,Germany,16,0,14
23-02-2020,Vietnam,16,0,15
23-02-2020,U.K.,13,0,8
23-02-2020,U.A.E.,13,0,3
23-02-2020,France,12,1,10
23-02-2020,Canada,10,0,3
23-02-2020,Macao,10,0,6
23-02-2020,Philippines,3,1,2
23-02-2020,India,3,0,3
23-02-2020,Israel,2,0,0
23-02-2020,Russia,2,0,2
